GrainWorld,Roads,Parking Row 1,Parking Row 2,Truck Terminal,Truck Loader 1,Truck Loader 2,Truck Silo 1,Truck Silo 2,Truck Silo 3,Truck Silo 4,Truck Silo 5,Truck Silo 6,Truck Silo 7,Truck Silo 8,Truck Shipper 1,Truck Shipper 2,Truck Merger,Train In,Train Out,Train Terminal,Silo Dispatcher,Sub Dispatch 1,Sub Dispatch 2,Loader 1,Loader 2,Loader 3,Loader 4,Silo 1,Silo 2,Silo 3,Silo 4,Silo 5,Silo 6,Silo 7,Silo 8,Silo 9,Silo 10,Silo 11,Silo 12,Silo 13,Silo 14,Silo 15,Silo 16,Shipper 1,Shipper 2,Shipper 3,Shipper 4,Silo Merger,Dock,Boat 1,Boat 2,Hold 1,Hold 2,Hold 3,Hold 4,Hold 5,Hold 6,Hold 7,Hold 8,Hold 9,Hold 10,Outside World
Roads,0,1,1,2,3,3,4,4,4,4,4,4,4,4,5,5,6,16,18,17,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,13,14,14,15,15,15,15,15,15,15,15,15,15,15
Parking Row 1,2,0,3,1,2,2,3,3,3,3,3,3,3,3,4,4,5,15,17,16,6,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,12,13,13,14,14,14,14,14,14,14,14,14,14,14
Parking Row 2,2,3,0,1,2,2,3,3,3,3,3,3,3,3,4,4,5,15,17,16,6,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,12,13,13,14,14,14,14,14,14,14,14,14,14,14
Truck Terminal,1,2,2,0,1,1,2,2,2,2,2,2,2,2,3,3,4,14,16,15,5,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13
Truck Loader 1,13,14,14,15,0,16,1,1,1,1,17,17,17,17,2,18,3,13,15,14,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,10,11,11,12,12,12,12,12,12,12,12,12,12,12
Truck Loader 2,13,14,14,15,16,0,17,17,17,17,1,1,1,1,18,2,3,13,15,14,4,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,10,11,11,12,12,12,12,12,12,12,12,12,12,12
Truck Silo 1,12,13,13,14,15,15,0,16,16,16,16,16,16,16,1,17,2,12,14,13,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11
Truck Silo 2,12,13,13,14,15,15,16,0,16,16,16,16,16,16,1,17,2,12,14,13,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11
Truck Silo 3,12,13,13,14,15,15,16,16,0,16,16,16,16,16,1,17,2,12,14,13,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11
Truck Silo 4,12,13,13,14,15,15,16,16,16,0,16,16,16,16,1,17,2,12,14,13,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11
Truck Silo 5,12,13,13,14,15,15,16,16,16,16,0,16,16,16,17,1,2,12,14,13,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11
Truck Silo 6,12,13,13,14,15,15,16,16,16,16,16,0,16,16,17,1,2,12,14,13,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11
Truck Silo 7,12,13,13,14,15,15,16,16,16,16,16,16,0,16,17,1,2,12,14,13,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11
Truck Silo 8,12,13,13,14,15,15,16,16,16,16,16,16,16,0,17,1,2,12,14,13,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,9,10,10,11,11,11,11,11,11,11,11,11,11,11
Truck Shipper 1,11,12,12,13,14,14,15,15,15,15,15,15,15,15,0,16,1,11,13,12,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10
Truck Shipper 2,11,12,12,13,14,14,15,15,15,15,15,15,15,15,16,0,1,11,13,12,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10
Truck Merger,10,11,11,12,13,13,14,14,14,14,14,14,14,14,15,15,0,10,12,11,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,7,8,8,9,9,9,9,9,9,9,9,9,9,9
Train In,11,12,12,13,14,14,15,15,15,15,15,15,15,15,16,16,17,0,2,1,2,3,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10
Train Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train Terminal,10,11,11,12,13,13,14,14,14,14,14,14,14,14,15,15,16,10,1,0,1,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,7,8,8,9,9,9,9,9,9,9,9,9,9,9
Silo Dispatcher,9,10,10,11,12,12,13,13,13,13,13,13,13,13,14,14,15,9,11,10,0,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,6,7,7,8,8,8,8,8,8,8,8,8,8,8
Sub Dispatch 1,8,9,9,10,11,11,12,12,12,12,12,12,12,12,13,13,14,8,10,9,10,0,11,1,1,12,12,2,2,2,2,2,2,2,2,13,13,13,13,13,13,13,13,3,3,14,14,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7
Sub Dispatch 2,8,9,9,10,11,11,12,12,12,12,12,12,12,12,13,13,14,8,10,9,10,11,0,12,12,1,1,13,13,13,13,13,13,13,13,2,2,2,2,2,2,2,2,14,14,3,3,4,5,6,6,7,7,7,7,7,7,7,7,7,7,7
Loader 1,7,8,8,9,10,10,11,11,11,11,11,11,11,11,12,12,13,7,9,8,9,10,10,0,11,11,11,1,1,1,1,12,12,12,12,12,12,12,12,12,12,12,12,2,13,13,13,3,4,5,5,6,6,6,6,6,6,6,6,6,6,6
Loader 2,7,8,8,9,10,10,11,11,11,11,11,11,11,11,12,12,13,7,9,8,9,10,10,11,0,11,11,12,12,12,12,1,1,1,1,12,12,12,12,12,12,12,12,13,2,13,13,3,4,5,5,6,6,6,6,6,6,6,6,6,6,6
Loader 3,7,8,8,9,10,10,11,11,11,11,11,11,11,11,12,12,13,7,9,8,9,10,10,11,11,0,11,12,12,12,12,12,12,12,12,1,1,1,1,12,12,12,12,13,13,2,13,3,4,5,5,6,6,6,6,6,6,6,6,6,6,6
Loader 4,7,8,8,9,10,10,11,11,11,11,11,11,11,11,12,12,13,7,9,8,9,10,10,11,11,11,0,12,12,12,12,12,12,12,12,12,12,12,12,1,1,1,1,13,13,13,2,3,4,5,5,6,6,6,6,6,6,6,6,6,6,6
Silo 1,6,7,7,8,9,9,10,10,10,10,10,10,10,10,11,11,12,6,8,7,8,9,9,10,10,10,10,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,12,12,12,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5
